Title,Status,Week,Day,Deliverable,Notes
"W1D1: Install Python, VS Code, Git; create virtual env",To Do,1,1,,
"W1D2: Python variables, strings, input/output",To Do,1,2,,
"W1D3: Lists, dicts, loops; list/dict comprehensions",To Do,1,3,,
"W1D4: Functions, modules, imports",To Do,1,4,,
"W1D5: Files, CSV/JSON; exceptions; pathlib",To Do,1,5,,
W1D6: Intro OOP; refactor classes; packaging,To Do,1,6,,
W1D7: Git workflow; README polish; demo GIF,To Do,1,7,,
"W2D1: NumPy arrays, slicing, broadcasting",To Do,2,8,,
W2D2: pandas loading/cleaning; dtypes; loc/iloc,To Do,2,9,,
"W2D3: groupby, pivots, merges",To Do,2,10,,
W2D4: Matplotlib/Seaborn plotting,To Do,2,11,,
W2D5: Datetime + text ops; feature prep,To Do,2,12,,
W2D6: Data storytelling; executive summary,To Do,2,13,,
W2D7: Polish project & README,To Do,2,14,,
W3D1: Linear algebra & stats for ML,To Do,3,15,,
W3D2: Train/test split; baseline; correlation,To Do,3,16,,
W3D3: Linear Regression; MAE/MSE/R²,To Do,3,17,,
W3D4: Regularization & cross-validation,To Do,3,18,,
W3D5: Learning curves; CLI inference,To Do,3,19,,
W3D6: Refactor repository; docs,To Do,3,20,,
W3D7: Week 3 review; summary write-up,To Do,3,21,,
W4D1: Titanic EDA; missing data & imputation,To Do,4,22,,
W4D2: Pipelines: ColumnTransformer + Pipeline,To Do,4,23,,
W4D3: Metrics: precision/recall/F1/ROC,To Do,4,24,,
W4D4: Trees & Random Forest; tuning,To Do,4,25,,
W4D5: Stratified CV; leakage checks,To Do,4,26,,
W4D6: End-to-end run script,To Do,4,27,,
W4D7: Project polish & summary,To Do,4,28,,
W5D1: MLP on MNIST; activations; loss,To Do,5,29,,
W5D2: CNN layers; pooling; padding,To Do,5,30,,
"W5D3: Regularization, BN, LR schedules",To Do,5,31,,
W5D4: Data augmentation,To Do,5,32,,
W5D5: Saving/loading models; ONNX overview,To Do,5,33,,
W5D6: Streamlit/Gradio deploy,To Do,5,34,,
W5D7: Writeup & demo video,To Do,5,35,,
W6D1: Text preprocessing; stopwords; stemming,To Do,6,36,,
W6D2: BoW/TF-IDF + Logistic Regression,To Do,6,37,,
W6D3: Embeddings & attention intro,To Do,6,38,,
W6D4: Fine-tune DistilBERT,To Do,6,39,,
W6D5: Error analysis; threshold tuning,To Do,6,40,,
W6D6: Serve model via Streamlit/Gradio,To Do,6,41,,
W6D7: Docs & packaging,To Do,6,42,,
W7D1: LLM fundamentals; tokens; temperature,To Do,7,43,,
W7D2: LLM API scripts (summarize/extract),To Do,7,44,,
W7D3: Embeddings & cosine similarity,To Do,7,45,,
W7D4: Image generation (diffusion APIs) + ethics,To Do,7,46,,
W7D5: RAG patterns (chunking/retrievers/rerank),To Do,7,47,,
W7D6: LangChain basics; refactor pipeline,To Do,7,48,,
W7D7: Capstone scoping & repo scaffold,To Do,7,49,,
W8D1: Ingestion & chunking; PDF/TXT parse,To Do,8,50,,
W8D2: Build embeddings; persist FAISS,To Do,8,51,,
W8D3: Retrieval + optional rerank,To Do,8,52,,
W8D4: Generation prompts + citations,To Do,8,53,,
W8D5: UI with Streamlit/Gradio,To Do,8,54,,
"W8D6: Testing, eval set, guardrails",To Do,8,55,,
W8D7: Deploy + README + demo video,To Do,8,56,,
