Day,Topic,Hours Planned,Hours Spent,Deliverable,Status,Notes
1,"Install Python, VS Code, Git; create virtual env",10,,,Not Started,
2,"Python variables, strings, input/output",10,,,Not Started,
3,"Lists, dicts, loops; list/dict comprehensions",10,,,Not Started,
4,"Functions, modules, imports",10,,,Not Started,
5,"Files, CSV/JSON; exceptions; pathlib",10,,,Not Started,
6,Intro OOP; refactor classes; packaging,10,,,Not Started,
7,Git workflow; README polish; demo GIF,10,,,Not Started,
8,"NumPy arrays, slicing, broadcasting",10,,,Not Started,
9,pandas loading/cleaning; dtypes; loc/iloc,10,,,Not Started,
10,"groupby, pivots, merges",10,,,Not Started,
11,Matplotlib/Seaborn plotting,10,,,Not Started,
12,Datetime + text ops; feature prep,10,,,Not Started,
13,Data storytelling; executive summary,10,,,Not Started,
14,Polish project & README,10,,,Not Started,
15,Linear algebra & stats for ML,10,,,Not Started,
16,Train/test split; baseline; correlation,10,,,Not Started,
17,Linear Regression; MAE/MSE/R²,10,,,Not Started,
18,Regularization & cross-validation,10,,,Not Started,
19,Learning curves; CLI inference,10,,,Not Started,
20,Refactor repository; docs,10,,,Not Started,
21,Week 3 review; summary write-up,10,,,Not Started,
22,Titanic EDA; missing data & imputation,10,,,Not Started,
23,Pipelines: ColumnTransformer + Pipeline,10,,,Not Started,
24,Metrics: precision/recall/F1/ROC,10,,,Not Started,
25,Trees & Random Forest; tuning,10,,,Not Started,
26,Stratified CV; leakage checks,10,,,Not Started,
27,End-to-end run script,10,,,Not Started,
28,Project polish & summary,10,,,Not Started,
29,MLP on MNIST; activations; loss,10,,,Not Started,
30,CNN layers; pooling; padding,10,,,Not Started,
31,"Regularization, BN, LR schedules",10,,,Not Started,
32,Data augmentation,10,,,Not Started,
33,Saving/loading models; ONNX overview,10,,,Not Started,
34,Streamlit/Gradio deploy,10,,,Not Started,
35,Writeup & demo video,10,,,Not Started,
36,Text preprocessing; stopwords; stemming,10,,,Not Started,
37,BoW/TF-IDF + Logistic Regression,10,,,Not Started,
38,Embeddings & attention intro,10,,,Not Started,
39,Fine-tune DistilBERT,10,,,Not Started,
40,Error analysis; threshold tuning,10,,,Not Started,
41,Serve model via Streamlit/Gradio,10,,,Not Started,
42,Docs & packaging,10,,,Not Started,
43,LLM fundamentals; tokens; temperature,10,,,Not Started,
44,LLM API scripts (summarize/extract),10,,,Not Started,
45,Embeddings & cosine similarity,10,,,Not Started,
46,Image generation (diffusion APIs) + ethics,10,,,Not Started,
47,RAG patterns (chunking/retrievers/rerank),10,,,Not Started,
48,LangChain basics; refactor pipeline,10,,,Not Started,
49,Capstone scoping & repo scaffold,10,,,Not Started,
50,Ingestion & chunking; PDF/TXT parse,10,,,Not Started,
51,Build embeddings; persist FAISS,10,,,Not Started,
52,Retrieval + optional rerank,10,,,Not Started,
53,Generation prompts + citations,10,,,Not Started,
54,UI with Streamlit/Gradio,10,,,Not Started,
55,"Testing, eval set, guardrails",10,,,Not Started,
56,Deploy + README + demo video,10,,,Not Started,
